Classifier,Type,Train(t),Test(t),Score_1,Score_2,Score_3,mse,f1,roc-auc
TimeSeriesForestClassifier,sktime,21.55091881752014,2.8053812980651855,0.8879310344827587,0.896551724137931,0.896551724137931,0.10344827586206896,0.896551724137931,0.9772169554991913
SupervisedTimeSeriesForest,sktime,109.20635914802551,5.754813194274902,0.9267241379310345,0.9181034482758621,0.9181034482758621,0.11206896551724138,0.9267241379310345,0.9896289883580978
RandomIntervalSpectralEnsemble,sktime,250.21064519882202,36.943814277648926,0.896551724137931,0.9051724137931034,0.9008620689655172,0.1853448275862069,0.9051724137931035,0.9822474291237965
RandomIntervalClassifier,sktime,547.1262156963348,37.37466049194336,0.9181034482758621,0.9094827586206896,0.9137931034482759,0.08189655172413793,0.9181034482758621,0.9844097043999219
ShapeletTransformClassifier,sktime,1026.129090309143,59.3457772731781,0.8836206896551724,0.8793103448275862,0.8836206896551724,0.14224137931034483,0.8836206896551724,0.9706737958097714
KNeighborsTimeSeriesClassifier,sktime,3.9192886352539062,73.91267228126526,0.771551724137931,0.771551724137931,0.771551724137931,0.3577586206896552,0.771551724137931,0.8288579083134678
ComposableTimeSeriesForestClassifier,sktime,1418.5742874145508,153.74407649040222,0.8836206896551724,0.8706896551724138,0.8793103448275862,0.11637931034482758,0.8836206896551724,0.9767661555340035
