Classifier,Type,Train(t),Test(t),Score_1,Score_2,Score_3,mse,f1,roc-auc
TimeSeriesForestClassifier,sktime,21.201586484909058,2.1555163860321045,0.9094827586206896,0.9051724137931034,0.896551724137931,0.09051724137931035,0.9094827586206896,0.9798156323095673
SupervisedTimeSeriesForest,sktime,144.0464038848877,8.591407060623169,0.9224137931034483,0.9310344827586207,0.9137931034482759,0.09482758620689655,0.9310344827586207,0.988947239015059
RandomIntervalSpectralEnsemble,sktime,259.05338621139526,41.164212703704834,0.896551724137931,0.9051724137931034,0.9051724137931034,0.1724137931034483,0.9051724137931035,0.9807498541395315
RandomIntervalClassifier,sktime,651.792286157608,39.09387755393982,0.9181034482758621,0.9181034482758621,0.9310344827586207,0.08189655172413793,0.9310344827586207,0.9872356491711479
ShapeletTransformClassifier,sktime,1170.0715742111206,84.91561555862427,0.8879310344827587,0.875,0.8706896551724138,0.13793103448275862,0.8879310344827587,0.97360211487935
KNeighborsTimeSeriesClassifier,sktime,4.950706243515015,83.31248807907104,0.771551724137931,0.771551724137931,0.771551724137931,0.3577586206896552,0.771551724137931,0.8288579083134678
ComposableTimeSeriesForestClassifier,sktime,1479.3679659366608,38504.42882657051,0.8793103448275862,0.8836206896551724,0.896551724137931,0.10344827586206896,0.896551724137931,0.9758438833109271
MUSE,sktime-multivar,126.27057099342346,15.160804510116577,0.9568965517241379,0.9525862068965517,0.9525862068965517,0.04310344827586207,0.9568965517241379,
RandomForestClassifier,sklearn-tree,0.7403738498687744,0.017957687377929688,0.8879310344827587,0.9008620689655172,0.896551724137931,0.09913793103448276,0.9008620689655172,0.9810307089880473
DecisionTreeClassifier,sklearn-tree,0.13775348663330078,0.004149913787841797,0.8793103448275862,0.853448275862069,0.8663793103448276,0.1206896551724138,0.8793103448275863,0.9027123327884037
RidgeClassifierCV,sklearn,0.13316750526428223,0.00398707389831543,0.7241379310344828,0.7241379310344828,0.7241379310344828,0.3275862068965517,0.7241379310344829,
SupportVectorClassifier,sklearn,0.0543675422668457,0.03291440010070801,0.8836206896551724,0.8836206896551724,0.8836206896551724,0.12931034482758622,0.8836206896551724,
KNeighborsClassifier,sklearn,0.004166364669799805,0.1621870994567871,0.8491379310344828,0.8491379310344828,0.8491379310344828,0.16379310344827586,0.8491379310344828,
GradientBoostingClassifier,sklearn,13.041298866271973,0.005947113037109375,0.9137931034482759,0.9137931034482759,0.9137931034482759,0.08620689655172414,0.9137931034482759,
SGDClassifier,sklearn,0.08241534233093262,0.003985881805419922,0.728448275862069,0.7413793103448276,0.8275862068965517,0.1853448275862069,0.8275862068965517,
