Classifier,Type,Train(t),Test(t),Score_1,Score_2,Score_3,mse,f1,roc-auc
TSF,sktime,21.7250657081604,1.8310530185699463,0.8836206896551724,0.8793103448275862,0.9094827586206896,0.1034482758620689,0.9094827586206896,0.9755980610083916
STSF,sktime,76.38377165794373,4.405586242675781,0.9224137931034484,0.9267241379310344,0.9267241379310344,0.0991379310344827,0.9267241379310344,0.9890025057196676
RISE,sktime,108.98253226280212,11.93383765220642,0.9008620689655172,0.896551724137931,0.896551724137931,0.2025862068965517,0.9008620689655172,0.9798863845993684
RIC,sktime,518.3933954238892,34.4939877986908,0.913793103448276,0.9396551724137931,0.913793103448276,0.0862068965517241,0.9396551724137931,0.9895681277176313
STC,sktime,777.3049726486206,19.428539514541622,0.8879310344827587,0.8922413793103449,0.8836206896551724,0.1336206896551724,0.8922413793103449,0.9733375727986122
kNN-TS,sktime,1.7623498439788818,70.61617970466614,0.771551724137931,0.771551724137931,0.771551724137931,0.3577586206896552,0.771551724137931,0.8288579083134678
CTSF,sktime,39.48658967018128,2.1720755100250244,0.8836206896551724,0.8793103448275862,0.8793103448275862,0.1163793103448275,0.8836206896551724,0.9745910398389748
WEASEL,sktime,48.85461068153381,1.2436153888702393,0.8793103448275862,0.8836206896551724,0.8836206896551724,0.2456896551724137,0.8836206896551724,0.9599939232803896
MUSE,sktime-multivar,38.400869607925415,1.8137028217315676,0.9655172413793104,0.9655172413793104,0.961206896551724,0.0344827586206896,0.9655172413793104,0.9917713258069388
ENSEMBLE,sktime-ensemble,771.210743188858,51.783875465393066,0.9568965517241379,0.9612068965517241,0.9525862068965517,0.06465517241379311,0.9612068965517241,0.9957244459265616
